chapter,paragraph_in_chapter,fix,before,after
Chapter Thirty-Two,46,period->comma,"“So.” Gormund said, breaking the silence as they clim","“So,” Gormund said, breaking the silence as they clim"
Chapter Thirty-Two,47,period->comma, a group heading to Solarspire.” Carina said. “Tagged along. Got to ride in a w," a group heading to Solarspire,” Carina said. “Tagged along. Got to ride in a w"
Chapter Thirty-Two,56,period->comma,"here before, I couldn't get in.” Carina said. “The barrier absorbs ki. I hit it","here before, I couldn't get in,” Carina said. “The barrier absorbs ki. I hit it"
Chapter Thirty-Two,58,period->comma,"“Together, then.” Yoo said.","“Together, then,” Yoo said."
Chapter Thirty-Two,66,period->comma,“Damn mages.” She said.,"“Damn mages,” she said."
Chapter Thirty-Three,8,period->comma,"ing to try something different.” She said, closing her eyes. “The spell has ","ing to try something different,” she said, closing her eyes. “The spell has "
Chapter Thirty-Three,14,period->comma,"“Well.” Muse said, settling into a chair. “If this i","“Well,” Muse said, settling into a chair. “If this i"
Chapter Thirty-Three,15,period->comma,"“We hadn’t forgotten.” Uthesia said, already pulling books from the ne","“We hadn’t forgotten,” Uthesia said, already pulling books from the ne"
Chapter Thirty-Three,25,period->comma,“The books are enchanted.” Muse said. “They present themselves differen,"“The books are enchanted,” Muse said. “They present themselves differen"
Chapter Thirty-Three,26,period->comma,"“Huh, pretty impressive.” Gormund admitted.","“Huh, pretty impressive,” Gormund admitted."
Chapter Thirty-Three,28,period->comma,“I was hoping you’d know.” Gormund said. “You know more about magic than m,"“I was hoping you’d know,” Gormund said. “You know more about magic than m"
Chapter Thirty-Three,31,period->comma,"“I’m a divine caster.” She said. “I know some basic arcane theory,","“I’m a divine caster,” she said. “I know some basic arcane theory,"
Chapter Thirty-Three,33,period->comma,“Xeroc.” She said to the air. “I know you just helpe,"“Xeroc,” she said to the air. “I know you just helpe"
Chapter Thirty-Three,45,period->comma,hat looks like a key or a hint.” Uthesia said from behind a pile of discarded vo,"hat looks like a key or a hint,” Uthesia said from behind a pile of discarded vo"
Chapter Thirty-Three,46,period->comma,"“I fell asleep for a bit.” Gormund said, lifting his head from a book he’d","“I fell asleep for a bit,” Gormund said, lifting his head from a book he’d"
Chapter Thirty-Three,74,lowercase tag,“What’s your name?” She asked.,“What’s your name?” she asked.
Chapter Thirty-Three,76,period->comma,“Remember it well.” He said. “Because it is the name of this c,"“Remember it well,” he said. “Because it is the name of this c"
Chapter Thirty-Three,86,period->comma,“That would have been helpful.” Uthesia said.,"“That would have been helpful,” Uthesia said."
Chapter Thirty-Three,92,period->comma, actually here for the faculty.” Muse said. “The Adventurers Guild sent us. T," actually here for the faculty,” Muse said. “The Adventurers Guild sent us. T"
Chapter Thirty-Three,96,period->comma,"“Nobody’s looting anything.” She said, her voice warm, kind, the voice s","“Nobody’s looting anything,” she said, her voice warm, kind, the voice s"
Chapter Thirty-Three,98,period->comma," authorize something like that.” He said, quieter. “The headmaster left me "," authorize something like that,” he said, quieter. “The headmaster left me "
Chapter Thirty-Three,101,period->comma,"on, I won’t block the transfer.” He said. “But I want it documented. Every ","on, I won’t block the transfer,” he said. “But I want it documented. Every "
Chapter Thirty-Three,102,period->comma,“Absolutely.” Muse said. “Thank you. That’s all we need.”,"“Absolutely,” Muse said. “Thank you. That’s all we need.”"
Chapter Thirty-Three,105,period->comma,"transport for the students too.” Gormund said. “People first, supplies second.”","transport for the students too,” Gormund said. “People first, supplies second.”"
Chapter Thirty-Three,108,period->comma,w what your teachers look like.” Gormund said. “So we wouldn’t have recognized t,"w what your teachers look like,” Gormund said. “So we wouldn’t have recognized t"
Chapter Thirty-Three,112,period->comma,“Absolutely not.” Carina said from the doorway.,"“Absolutely not,” Carina said from the doorway."
Chapter Thirty-Three,113,period->comma, an arcane caster in the party.” Muse said thoughtfully.," an arcane caster in the party,” Muse said thoughtfully."
Chapter Thirty-Three,115,period->comma,“Magic is rather convenient.” Uthesia said. “Especially against enchantments ,"“Magic is rather convenient,” Uthesia said. “Especially against enchantments "
Chapter Thirty-Three,119,period->comma,“Why.” She said to nobody. “Why does the universe ,"“Why,” she said to nobody. “Why does the universe "
Chapter Thirty-Four,6,period->comma,"‘He bluffed me.’ Barbatos thought, and the thought carried a flavor ","‘He bluffed me,’ Barbatos thought, and the thought carried a flavor "
Chapter Thirty-Four,10,period->comma,"ot a remarkable operation here.” He said to the vendor, gesturing at the st","ot a remarkable operation here,” he said to the vendor, gesturing at the st"
Chapter Thirty-Four,12,period->comma,"“Oh, well, you know how it is.” The man said, his voice a shade too bright. “We","“Oh, well, you know how it is,” the man said, his voice a shade too bright. “We"
Chapter Thirty-Four,13,period->comma,“Of course.” Barbatos said pleasantly. “Good timing.” He fini,"“Of course,” Barbatos said pleasantly. “Good timing.” He fini"
Chapter Thirty-Four,16,period->comma,"‘What to do next.’ He thought, letting the options arrange thems","‘What to do next,’ he thought, letting the options arrange thems"
Chapter Thirty-Four,29,period->comma," immediate threats are reduced.” She said aloud, the habit of processing by "," immediate threats are reduced,” she said aloud, the habit of processing by "
Chapter Thirty-Four,39,period->comma,"“Watch me, Father.” She said to the empty room. “Wherever in he","“Watch me, Father,” she said to the empty room. “Wherever in he"
Chapter Thirty-Four,48,lowercase tag,“Dantalion!” He said brightly. “You’ll never believe wh,“Dantalion!” he said brightly. “You’ll never believe wh
Chapter Thirty-Four,60,lowercase tag,"“Did it work?” He asked, and his voice was the same. The s","“Did it work?” he asked, and his voice was the same. The s"
Chapter Thirty-Four,61,lowercase tag,ds on what you were hoping for!” The Merchant said cheerfully. “I charged the gem as ,ds on what you were hoping for!” the Merchant said cheerfully. “I charged the gem as 
Chapter Thirty-Four,62,period->comma,"“My intelligence is intact.” Dantalion said, flexing his hands, testing the mo","“My intelligence is intact,” Dantalion said, flexing his hands, testing the mo"
Chapter Thirty-Four,68,period->comma,th was always going to kill me.” He said. “She’s been planning it since she,"th was always going to kill me,” he said. “She’s been planning it since she"
Chapter Thirty-Four,80,period->comma,"“I’m glad you approve.” Everos said. “Now, shall we discuss next steps","“I’m glad you approve,” Everos said. “Now, shall we discuss next steps"
Chapter Thirty-Five,18,period->comma,etter not keep us waiting long.” Carina said as they approached the walls. “The,"etter not keep us waiting long,” Carina said as they approached the walls. “The"
Chapter Thirty-Five,19,period->comma,ng back here after Glimmerhold.” Muse said. “He’ll be here.”,"ng back here after Glimmerhold,” Muse said. “He’ll be here.”"
Chapter Thirty-Five,22,period->comma,“There’s Cain.” Gormund said. “Cain! Over here!”,"“There’s Cain,” Gormund said. “Cain! Over here!”"
Chapter Thirty-Five,24,period->comma,"“Good, he’s already back.” She said.","“Good, he’s already back,” she said."
Chapter Thirty-Five,27,period->comma,"“Wait.” She said. “Guys, hold on—”","“Wait,” she said. “Guys, hold on—”"
Chapter Thirty-Five,29,period->comma,"“Of course.” Yoo said, reading the tension without needi","“Of course,” Yoo said, reading the tension without needi"
Chapter Thirty-Five,32,period->comma,“That’s not what Muse told us.” Uthesia said. “She said you were staying behind,"“That’s not what Muse told us,” Uthesia said. “She said you were staying behind"
Chapter Thirty-Five,35,period->comma,"“But Muse is right here.” Carina said. “She’s your prophet or whatever, ","“But Muse is right here,” Carina said. “She’s your prophet or whatever, "
Chapter Thirty-Five,41,period->comma,"to continue as Naika’s prophet.” She said, and the words came out smaller th","to continue as Naika’s prophet,” she said, and the words came out smaller th"
Chapter Thirty-Five,42,period->comma,"g the lying aside for a second.” Gormund said, his voice harder than usual. “Cai","g the lying aside for a second,” Gormund said, his voice harder than usual. “Cai"
Chapter Thirty-Five,43,period->comma,“It’s not about control.” Cain said. “Muse chooses her own path. I’ve ,"“It’s not about control,” Cain said. “Muse chooses her own path. I’ve "
Chapter Thirty-Five,47,period->comma,“Muse.” He called over his shoulder. “If you could s,"“Muse,” he called over his shoulder. “If you could s"
Chapter Thirty-Five,49,period->comma,"“And Carina.” He said, without turning around. “I always","“And Carina,” he said, without turning around. “I always"
Chapter Thirty-Five,54,period->comma,“I know.” Muse said. “I didn’t know how to explain it.,"“I know,” Muse said. “I didn’t know how to explain it."
Chapter Thirty-Five,55,period->comma,t expect him to actually leave.” Uthesia said flatly.,"t expect him to actually leave,” Uthesia said flatly."
Chapter Thirty-Five,61,period->comma,"“Let’s go talk to Fafnir.” Uthesia said. The bluntness was a mercy, cuttin","“Let’s go talk to Fafnir,” Uthesia said. The bluntness was a mercy, cuttin"
Chapter Thirty-Five,64,period->comma,"“Well done.” He said. “Ostervik held, the Mage College ","“Well done,” he said. “Ostervik held, the Mage College "
Chapter Thirty-Five,67,period->comma,t the circumstances warrant it.” Fafnir said. “I don’t have immediate work for ,"t the circumstances warrant it,” Fafnir said. “I don’t have immediate work for "
Chapter Thirty-Five,70,period->comma,fing. Things have been chaotic.” Fafnir said. “The King and his son both suffer,"fing. Things have been chaotic,” Fafnir said. “The King and his son both suffer"
Chapter Thirty-Five,71,period->comma,stay in Solarspire for a while.” Uthesia said. The words came out with someone e,"stay in Solarspire for a while,” Uthesia said. The words came out with someone e"
Chapter Thirty-Five,78,period->comma,“He’s not dead.” Uthesia said. She stopped walking but didn’t tu,"“He’s not dead,” Uthesia said. She stopped walking but didn’t tu"
Chapter Thirty-Five,79,period->comma,"“The castle is guarded.” Gormund said, catching up. “Ghislaine, the Roya","“The castle is guarded,” Gormund said, catching up. “Ghislaine, the Roya"
Chapter Thirty-Five,83,period->comma,slaine patrols the entire city.” Carina said quietly. “She’d find you before yo,"slaine patrols the entire city,” Carina said quietly. “She’d find you before yo"
Chapter Thirty-Five,85,period->comma,"“We can’t.” Muse said, and her voice was gentle in the w","“We can’t,” Muse said, and her voice was gentle in the w"
Chapter Thirty-Five,87,period->comma,“Fine.” She said. The word was ice. “I wasn’t askin,"“Fine,” she said. The word was ice. “I wasn’t askin"
Chapter Thirty-Five,92,period->comma,"“Just stay out of my way.” She said, quieter now, the volume spent. Th","“Just stay out of my way,” she said, quieter now, the volume spent. Th"
Chapter Thirty-Five,96,period->comma,“Well.” He sighed. “I guess the adventure’s over.” H,"“Well,” he sighed. “I guess the adventure’s over.” H"
Chapter Thirty-Five,100,period->comma,"“Yeah.” She said. “Come on, Inarus. You said you’re","“Yeah,” she said. “Come on, Inarus. You said you’re"
Chapter Thirty-Five,104,period->comma,“Wait.” She said. Her voice was small. “Guys? What ,"“Wait,” she said. Her voice was small. “Guys? What "
Chapter Thirty-Five,106,period->comma,"“But the promises.” She called after them. “Gormund, we were goin","“But the promises,” she called after them. “Gormund, we were goin"
Chapter Thirty-Five,113,period->comma,"“Come on, sweetheart.” Yoo said softly. “Let’s go—”","“Come on, sweetheart,” Yoo said softly. “Let’s go—”"
Chapter Thirty-Six,48,period->comma,“I need to see someone.” He said. “A healer named Muse. She’s with ,"“I need to see someone,” he said. “A healer named Muse. She’s with "
Chapter Thirty-Six,49,period->comma,Don’t know anyone by that name.” The nurse said. “But I’ve only been assigned to t,"Don’t know anyone by that name,” the nurse said. “But I’ve only been assigned to t"
Chapter Thirty-Six,54,period->comma,“North.” Gormund repeated. “On foot.”,"“North,” Gormund repeated. “On foot.”"
Chapter Thirty-Seven,7,period->comma,“You know what? You’re right.” She said. “Sitting in this city feeling sor,"“You know what? You’re right,” she said. “Sitting in this city feeling sor"
Chapter Thirty-Seven,14,period->comma,"“Ok.” Inarus said. He’d stopped at the midpoint, his","“Ok,” Inarus said. He’d stopped at the midpoint, his"
Chapter Thirty-Seven,17,period->comma, pulp before it hit the ground.” Inarus said. “And the cold itself is like stan," pulp before it hit the ground,” Inarus said. “And the cold itself is like stan"
Chapter Thirty-Seven,25,period->comma,“A feeling.” Inarus repeated flatly. “We’re about to walk into ,"“A feeling,” Inarus repeated flatly. “We’re about to walk into "
Chapter Thirty-Seven,35,period->comma,"“So.” She said, walking beside him, her tremor se","“So,” she said, walking beside him, her tremor se"
Chapter Thirty-Seven,39,period->comma,something of a good luck charm.” Muse said. “My connection to the Divine prod,"something of a good luck charm,” Muse said. “My connection to the Divine prod"
Chapter Thirty-Seven,52,lowercase tag,not believe in the Gods at all?” She asked.,not believe in the Gods at all?” she asked.
Chapter Thirty-Seven,60,period->comma,“Whoa.” He said. “You were right. That’s a cathedr,"“Whoa,” he said. “You were right. That’s a cathedr"
Chapter Thirty-Seven,76,lowercase tag,narus. “What does he look like?” She whispered.,narus. “What does he look like?” she whispered.
Chapter Thirty-Seven,77,period->comma,"“Short gray hair.” Inarus whispered back, the wand still raised. “Elve","“Short gray hair,” Inarus whispered back, the wand still raised. “Elve"
Chapter Thirty-Seven,78,period->comma,"“Names.” The man said. He’d heard them, the cathedral ca","“Names,” the man said. He’d heard them, the cathedral ca"
Chapter Thirty-Seven,81,period->comma,“He’s looking for his teachers.” Muse said. “Professors from the Glimmerhold ,"“He’s looking for his teachers,” Muse said. “Professors from the Glimmerhold "
Chapter Thirty-Seven,82,period->comma,“I’m sorry.” Lucas said. “You’re the first visitors I’ve h,"“I’m sorry,” Lucas said. “You’re the first visitors I’ve h"
Chapter Thirty-Seven,85,period->comma,“I’m a Prophet.” She said. “Or I was. I’ve lost my place. Th,"“I’m a Prophet,” she said. “Or I was. I’ve lost my place. Th"
Chapter Thirty-Seven,86,period->comma,ome to exactly the right place.” Lucas said. “Come. Sit with me. Tell me your ,"ome to exactly the right place,” Lucas said. “Come. Sit with me. Tell me your "
Chapter Thirty-Seven,88,period->comma,You say you’ve lost your place.” He said. “Tell me more.”,"You say you’ve lost your place,” he said. “Tell me more.”"
Chapter Thirty-Seven,89,period->comma,“The Solar Covenant.” Muse said. “That was my faith. My goddess wa,"“The Solar Covenant,” Muse said. “That was my faith. My goddess wa"
Chapter Thirty-Seven,90,period->comma,"“I’m terribly sorry.” Lucas said, and the sympathy was genuine, the","“I’m terribly sorry,” Lucas said, and the sympathy was genuine, the"
Chapter Thirty-Seven,92,period->comma,"“Four houses.” He said. “The four children of Gaia, each ","“Four houses,” he said. “The four children of Gaia, each "
Chapter Thirty-Seven,93,period->comma,“Death and Chaos.” Muse said. “Those sound rather... dark. Some,"“Death and Chaos,” Muse said. “Those sound rather... dark. Some"
Chapter Thirty-Seven,98,period->comma,“Sil’Sot.” She said. “Dragon of Life. Child of Gaia. I,"“Sil’Sot,” she said. “Dragon of Life. Child of Gaia. I"
Chapter Thirty-Seven,105,period->comma,“She answered.” He said. “She actually answered you. A dir,"“She answered,” he said. “She actually answered you. A dir"
Chapter Thirty-Seven,108,period->comma,ll figuring out where I belong.” She said. “Sil’Sot isn’t the first deity to,"ll figuring out where I belong,” she said. “Sil’Sot isn’t the first deity to"
Chapter Thirty-Seven,109,period->comma,n let me at least make my case.” Lucas said. “Stay a while. Let me show you wh,"n let me at least make my case,” Lucas said. “Stay a while. Let me show you wh"
Chapter Thirty-Seven,111,period->comma,“Alright.” She said. “I’d be happy to get the tour.”,"“Alright,” she said. “I’d be happy to get the tour.”"
Chapter Thirty-Seven,112,period->comma,"“Wonderful.” Lucas said, and the joy in his voice was tota","“Wonderful,” Lucas said, and the joy in his voice was tota"
Chapter Thirty-Eight,19,lowercase tag,"uild is guarding Dantalion now?” She said, her voice thick through the blood","uild is guarding Dantalion now?” she said, her voice thick through the blood"
Chapter Thirty-Eight,20,period->comma,"om getting murdered in her bed.” Stonewalker said. He stood in the doorway, relaxed,","om getting murdered in her bed,” Stonewalker said. He stood in the doorway, relaxed,"
Chapter Thirty-Eight,28,period->comma,"“More than enough.” Uthesia said. “Besides, you don’t have your gol","“More than enough,” Uthesia said. “Besides, you don’t have your gol"
Chapter Thirty-Eight,32,period->comma,"ing real tired of hearing that.” He said, and his voice had lost its casual","ing real tired of hearing that,” he said, and his voice had lost its casual"
Chapter Thirty-Eight,71,period->comma,“Hah.” She breathed. Blood still on her upper lip from,"“Hah,” she breathed. Blood still on her upper lip from"
Chapter Thirty-Eight,83,period->comma,“Yeah.” Uthesia said. She was smiling. “You’re a smart ,"“Yeah,” Uthesia said. She was smiling. “You’re a smart "
Chapter Thirty-Eight,90,lowercase tag, how I knew you weren’t a mage?” He said. “The dome suppresses magic. All o, how I knew you weren’t a mage?” he said. “The dome suppresses magic. All o
Chapter Thirty-Eight,99,period->comma,"“My father knew her.” Elizabeth said. She crouched beside Uthesia, stud","“My father knew her,” Elizabeth said. She crouched beside Uthesia, stud"
Chapter Thirty-Nine,12,period->comma,“It bothered me.” Barbatos said. “More than it should have. I mean,"“It bothered me,” Barbatos said. “More than it should have. I mean"
Chapter Thirty-Nine,24,period->comma,“Fair question.” He said. “Honestly? It was a long time ago,"“Fair question,” he said. “Honestly? It was a long time ago"
Chapter Thirty-Nine,58,period->comma,"“No.” Cain said, looking down at him through the g","“No,” Cain said, looking down at him through the g"
Chapter Thirty-Nine,94,period->comma,"“I’ll never stop.” Barbatos said, and the words came out wrong beca","“I’ll never stop,” Barbatos said, and the words came out wrong beca"
Chapter Forty,5,period->comma,“It’s ready.” Carina said. “Right? You said it’d be done soo,"“It’s ready,” Carina said. “Right? You said it’d be done soo"
Chapter Forty,9,period->comma,“Hold out your arm.” Gudrun said.,"“Hold out your arm,” Gudrun said."
Chapter Forty,13,period->comma,"“Natural.” Carina said, and meant it. She’d expected the ","“Natural,” Carina said, and meant it. She’d expected the "
Chapter Forty,14,period->comma,h your body's natural strength.” Gudrun said. “It’ll hold a weapon without slip,"h your body's natural strength,” Gudrun said. “It’ll hold a weapon without slip"
Chapter Forty,15,period->comma,"“Thank you.” Carina said. She looked at the hand, silver an","“Thank you,” Carina said. She looked at the hand, silver an"
Chapter Forty,27,lowercase tag,“Why does this keep happening?” She said to the snow. To nobody. “What did ,“Why does this keep happening?” she said to the snow. To nobody. “What did 
Chapter Forty,37,lowercase tag," punching you not clear enough?” She said, and her voice came out raw. “Did "," punching you not clear enough?” she said, and her voice came out raw. “Did "
Chapter Forty,44,period->comma,“I’ll start.” Yoo said. She still hadn’t turned around. “,"“I’ll start,” Yoo said. She still hadn’t turned around. “"
Chapter Forty,51,period->comma,t should disqualify me forever.” Yoo said. “I know that. But the pain of bei,"t should disqualify me forever,” Yoo said. “I know that. But the pain of bei"
Chapter Forty,55,period->comma,"“We’re both Murimites, Mom.” She said. “You’re right. We’re bad at this.","“We’re both Murimites, Mom,” she said. “You’re right. We’re bad at this."
Chapter Forty,61,period->comma,"If you beat me, I’ll come home.” Carina said. “If I win, you never contact me a","If you beat me, I’ll come home,” Carina said. “If I win, you never contact me a"
Chapter Forty,113,period->comma,“You made good friends.” She said.,"“You made good friends,” she said."
Chapter Forty,130,period->comma,“I’m not stupid.” Carina said. “I know what you are. What you do,"“I’m not stupid,” Carina said. “I know what you are. What you do"
Chapter Forty,132,period->comma,"“I want to stop feeling.” She said. The words came out hollow, emptie","“I want to stop feeling,” she said. The words came out hollow, emptie"
